epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
81,8256.59,0.80639,0.3741,0.09908,0.85362,0.68689,0.68676,0.39172,0.92862,0.4953,0.17457,0.000208,0.000208,0.000208
82,8322.57,0.81311,0.36946,0.09338,0.82673,0.68097,0.67596,0.40196,0.93429,0.49641,0.18654,0.0001981,0.0001981,0.0001981
83,8385.89,0.80084,0.37505,0.09809,0.83971,0.67939,0.68297,0.40783,0.93132,0.49268,0.18955,0.0001882,0.0001882,0.0001882
84,8451.49,0.77336,0.38302,0.09467,0.83891,0.68598,0.6834,0.41031,0.92914,0.48584,0.18997,0.0001783,0.0001783,0.0001783
85,8549.19,0.76486,0.37401,0.08915,0.83472,0.68719,0.67741,0.40869,0.93803,0.47809,0.1851,0.0001684,0.0001684,0.0001684
86,8626.28,0.79317,0.37551,0.0942,0.84397,0.68073,0.68242,0.4149,0.94416,0.48093,0.18653,0.0001585,0.0001585,0.0001585
87,8734.79,0.75945,0.36895,0.09216,0.82456,0.68185,0.67932,0.40652,0.94887,0.48424,0.18895,0.0001486,0.0001486,0.0001486
88,8804.21,0.76823,0.36894,0.09164,0.85329,0.67543,0.68324,0.41549,0.93493,0.48924,0.18292,0.0001387,0.0001387,0.0001387
89,8855.75,0.79208,0.36382,0.09785,0.85016,0.67997,0.68731,0.41966,0.93336,0.50171,0.18634,0.0001288,0.0001288,0.0001288
90,9226.02,0.77984,0.36768,0.08941,0.84068,0.68998,0.68724,0.41389,0.9231,0.49858,0.18666,0.0001189,0.0001189,0.0001189
91,9316.06,0.76047,0.36202,0.09345,0.86088,0.68796,0.68842,0.41777,0.91644,0.49684,0.18024,0.000109,0.000109,0.000109
92,9368.79,0.76269,0.36928,0.08794,0.85146,0.68266,0.6877,0.41858,0.91754,0.49822,0.18217,9.91e-05,9.91e-05,9.91e-05
93,9452.43,0.7959,0.35628,0.10314,0.86953,0.67654,0.68543,0.41508,0.92822,0.49202,0.18411,8.92e-05,8.92e-05,8.92e-05
94,9513.03,0.77888,0.36014,0.09325,0.85211,0.68464,0.69046,0.41737,0.9188,0.49291,0.17815,7.93e-05,7.93e-05,7.93e-05
95,9602.24,0.72412,0.37339,0.08582,0.85526,0.68489,0.6888,0.4096,0.92377,0.49308,0.17777,6.94e-05,6.94e-05,6.94e-05
96,9661.04,0.7763,0.36442,0.10209,0.85773,0.67342,0.68368,0.41646,0.92272,0.49158,0.17288,5.95e-05,5.95e-05,5.95e-05
97,9774.16,0.75831,0.36906,0.08488,0.84624,0.68654,0.68722,0.41876,0.92998,0.48766,0.17948,4.96e-05,4.96e-05,4.96e-05
98,9838.76,0.74682,0.36636,0.08883,0.846,0.68541,0.68858,0.419,0.92295,0.49465,0.18152,3.97e-05,3.97e-05,3.97e-05
99,9910.19,0.7769,0.3608,0.09692,0.84871,0.68242,0.68823,0.41841,0.92385,0.48995,0.18322,2.98e-05,2.98e-05,2.98e-05
100,9968.79,0.70201,0.37415,0.08144,0.86078,0.68662,0.69276,0.4185,0.91597,0.49511,0.18038,1.99e-05,1.99e-05,1.99e-05
